📺央视频道,#genre#
CCTV-16 奥林匹克,https://feiyang.wangdu.site/decrypt.php?url=dWRDWHhsZzRPTTV2UmJuc21vSmlxQTJacWJHVjdVTW9LMHczWlAveHVyS3dxWmNqTG02bWlQU3V2S3lRMnA4dExmT0FaNUEyUHRYRWw0aFpTL3lOUWFGcGVsVS9BdE81MTRLYldyaXV3RVlCUUtuRWxtL2hkRmNwTjdVakN5T3I%3D
CCTV-17 农业农村,http://192.168.6.1:1207/rtp/239.255.40.143:8208
CCTV-17 农业农村,https://feiyang.wangdu.site/decrypt.php?url=c3FzSVEwZzlPQm8zQXBWTnpydzNIZER1L0tEMHhlMTRaMEE2eFpJb1EzcU9zdmxyRWNRTTN3QWMrclVXRFpnNUdseTE1cW9JOGxQUjZGT0p5Vmh6Q1E9PQ%3D%3D

📡卫视频道,#genre#
东南卫视,http://192.168.6.1:1207/rtp/239.255.40.149:8208
东南卫视,http://192.168.6.1:1207/rtp/239.255.40.203:8208
东南卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIRFhGYitxaGgzQVdxM1pUUE9JYlY2L3Uya2djbklEaFBQZFhZZUxjeVUySWVFM1FPblNSQWthczJoODJIdjZPYkhVaWFrQXVjVXcrNW9seUFkTlEvc3A%3D
广东卫视,http://192.168.6.1:1207/rtp/239.255.40.52:8208
广东卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQml6aUpBemtDOHJ1TWNnbWNaUkZiKzRoN1JNWnNTMWJreHl5UjhwNENOZlp6ZnpDMDRSckNwd3JheXdUT09LQStaclMzY2FwWm5oK3RsOHo3Y21xODA%3D
浙江卫视,http://192.168.6.1:1207/rtp/239.255.40.49:8208
浙江卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQnNCNm1LZkhSVm5DRXJXb3JEVnUzQUhYbm9tQnR6S2JpNFNDS3VIUmh5cFNuM0xkc3NMN21ENDBuM04vVjVkY0oxTDBoRU1oMXdPSkpncVUvRjZDbmw%3D
湖南卫视,http://192.168.6.1:1207/rtp/239.255.40.43:8208
湖南卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQUx2UG9XVlBDcWpMOEcwMW9rcWRMUm5BRktRTjlHaFlYbXV3ZVVNQmFVd1hPaUpneVNpcE9TM3BnUitJeHFZK081TVNudVprMThGZmxaQkk2dk1Zbnk%3D
北京卫视,http://192.168.6.1:1207/rtp/239.255.40.46:8208
北京卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQk5vTTdkb0xtOTdUZHVobUg3SURJTFljdEJmcjBab21OUURtMVhMQ0d1R2JhQjhNajl4dC9xTUZEeEhGMUFzSDJTMlpOdVg1ajdJZUJLK2NpUnBJQlk%3D
湖北卫视,http://192.168.6.1:1207/rtp/239.255.40.47:8208
湖北卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQkRqTFcvZ2Zaa1J2NzgxaTdYeVNmNUVRNFdUdXF6NjBpY0QvclpxNlAyRmZkUzRjNm9xRDJnZ1lOUSs5enkwWWprdDJsSHY4Nmhvc2ErWTdiZkJEbnM%3D
黑龙江卫视,http://192.168.6.1:1207/rtp/239.255.40.44:8208
黑龙江卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQ2xOdTgwZlNHTUtUMWFKSFRRa2FNeTRES1ZTNlRVQXVpdktMOThQOEJDRCtTMFNRUzNMR2xZcnV3V095SXRaR3YzNVZnYkRCc2ZIY3JCbXdWQmNneVU%3D
安徽卫视,http://192.168.6.1:1207/rtp/239.255.40.53:8208
安徽卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQXNCQmNaaHhNdjQrbGd1aEswaGF5ZHVLSjBOL1N2TkRLOHhndmd0NDhhQjl2bS8rSEd0YWllZHQxMjRNNDlKTDRaY3BQdEVSMW01Uk9iVURxNXhkemo%3D
重庆卫视,http://192.168.6.1:1207/rtp/239.255.40.21:8208
重庆卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQUJiVit1UHBqdDhHVkFSazN5aWxJS3k1RTF6ZDdjZ2YwVG9oUlJqdTVraWJ0clM2RnovdTBRdDNvWUlhWVRPQU5Bc085a1JSSlNsZWtFOG83UWhidno%3D
东方卫视,http://192.168.6.1:1207/rtp/239.255.40.50:8208
东方卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIRGdoT3ZTZnl4Ylh3ajJnbTBwYm5WbjNsTDVuL2w0K1p5TkFHVVQ3K3AyMmtmSC9JQTlLQ3ZORm5EdkRVa3RMbkFJY0Z2VFNsQ1U5ZERWMGJHbjhmb0E%3D
甘肃卫视,http://192.168.6.1:1207/rtp/239.255.40.16:8208
甘肃卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQVlRczlHeHYxLzV0Z1pFVWJNMUFlRk5qSStrOVpWRFErNkFvMUVEWEg5K28wZDZxV25ZNmpvc1BMVDR2WGtWU05GajlZRmYwQTJ0NGZlZW1jcUt2bDQ%3D
广西卫视,http://192.168.6.1:1207/rtp/239.255.40.22:8208
广西卫视,https://feiyang.wangdu.site/decrypt.php?url=eWlRZjY1Zlhwb3g3Q092dWJaQ2FpaHFvSm9VWXR5YURaNDZVL0RVUFNPRGI1NnhrSTNaaE9oNEJZNU01LzZKZVZEUXhaZi9Dazg1eGVIWjBnandRaEFtVVNuTDdaTTRGcGY4WUlrZTd3Wjg9
贵州卫视,http://192.168.6.1:1207/rtp/239.255.40.200:8208
贵州卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIRGxHQWhqbzJ6QlJPTUxOSGo3WTg2VHF6eXl0TFpiNTAvRzZRd2phYWZoK0JOR25QUUxjbzQzSEtRa0NjczBCUWZ3WE1RWTZVN2ttdTlJRyt3QkVZbUI%3D
海南卫视,http://192.168.6.1:1207/rtp/239.255.40.23:8208
海南卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQ0dXZnl2MjBJbUdmS2c5dFhLSWMrYjUveUMvQ1FEM09laUlXb1hjSUpRMnRHRXFrdUpjTXJTckNBV3lTV0g1aElEd0w3NW55K2d2aVFybGNjM3Iya1Y%3D
河北卫视,http://192.168.6.1:1207/rtp/239.255.40.20:8208
河北卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQXJxamxsWVpzajhnSjdIa2dUMlRPQnpaV2ZacjBmbmVmRUJtbmU2b2NIdy8wQVdhRXhOL1lxN1ZtS2RNWHcvYlBsQlRxazBEdVNUQmsvQkxkZmQxRWY%3D
河南卫视,http://192.168.6.1:1207/rtp/239.255.40.9:8208
河南卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIRGFwZFpmQUxTOXRpV2JuL0RLM1pqY2ZwaFpSK2c4TnIrTmI2UTdaOEs3QmZPc2VLVFkrOHo4cnhscG1salhxbnlFdzg5R3AzQjlLOVgyWlB2VXN2K3Y%3D
吉林卫视,http://192.168.6.1:1207/rtp/239.255.40.17:8208
吉林卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIQ04yRk5tMnZxYUR3cUg1MlFCdjczWWxhYlRQM2FZa2ZXUExDcFBqamcrU1l5UDFQWG9QM2l5QkZ3SlpxUUhvb0daTTVZdkJoY3IwMVlRVXlxbDBaRWE%3D
江苏卫视,http://192.168.6.1:1207/rtp/239.255.40.42:8208
江苏卫视,https://feiyang.wangdu.site/decrypt.php?url=U0g4Y0FyK2ZTZjRwQVdjUXY3K3MzOHVXMjc2NVdoK0FCdmsrRlAwcElIREdNcTdmZVZvUEpqZHhvWEV0WWJvd3J2RFBmRXoydFRGdXlQSEEwNWF2dEw2WHI5WXhTc1ovM3RJbmtIdE14NG9jZDVVclRwd2Nack16OFIyR29zRTE%3D
江西卫视,http://192.168.6.1:1207/rtp/239.255.40.18:8208
